NS,TIPOVIVIENDADONDEVIVE,REGIMENTENENCIAVIVIENDADONDEVIVE,VIVESUPADRE,VIVESUMADRE,PERSONASCONQUIENESVIVE,NIVELEDUCATIVOPADRE,NIVELEDUCATIVOMADRE,TRABAJASUPADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUPADRE,TRABAJASUMADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUMADRE,TIENECONOCIMIENTOSENCOMPUTACION,COMPUTADORAQUEUTILIZAFRECUENTEMENTEES,FINANCIAMIENTODESUSESTUDIOSUNIVERSITARIOS
347,0,2,1,1,1,4,4,2,1,2,0,1,3,2
348,0,2,1,1,1,2,4,2,1,2,0,1,3,2
349,0,2,1,1,1,5,0,2,0,2,1,1,3,2
350,1,0,1,1,1,4,0,2,0,2,1,1,3,2
351,0,2,1,1,1,0,5,2,1,2,0,1,3,1
352,1,2,1,1,1,0,0,2,1,2,1,1,3,2
353,0,2,0,1,1,1,3,0,2,2,1,1,3,2
354,0,2,1,1,1,4,4,2,1,2,1,1,3,2
355,0,2,1,1,1,4,4,2,0,2,0,1,0,2
356,1,0,1,1,1,5,5,2,1,2,1,1,0,2
357,0,2,1,1,1,2,2,2,0,2,0,1,3,2
358,0,2,1,1,1,4,4,2,1,2,0,1,3,2
359,0,2,0,1,1,1,3,0,2,2,1,1,3,2
360,0,0,1,1,1,4,4,2,0,1,2,1,3,2
361,1,0,1,1,0,4,2,2,1,1,2,1,0,2
362,1,2,1,1,1,4,5,2,1,2,0,1,3,2
363,0,2,1,1,1,4,4,2,0,2,0,1,3,2
364,0,2,1,1,1,2,2,2,0,2,1,1,3,2
365,1,0,0,1,3,1,0,0,2,2,1,1,3,0
366,0,2,1,1,0,4,4,2,0,2,0,1,3,2
367,0,1,1,1,1,0,0,2,1,2,1,1,3,2
368,0,2,1,1,1,3,3,2,1,2,1,1,3,2
369,1,2,1,1,1,4,4,2,0,2,0,1,3,2
370,1,0,1,1,1,0,3,2,1,2,1,1,2,2
371,0,2,0,0,2,1,1,0,2,0,2,1,3,2
372,0,2,1,1,0,4,5,2,1,2,0,1,3,2
373,1,1,1,1,1,3,5,1,2,2,0,1,0,2
374,0,2,1,1,1,4,5,2,1,2,0,1,3,2
375,0,2,1,1,1,2,4,2,1,2,1,1,3,2
376,0,2,1,1,3,4,4,2,1,2,0,1,3,2
377,0,2,0,1,1,1,5,0,2,2,0,1,3,2
378,0,2,1,1,1,2,4,2,0,2,0,1,3,2
379,0,2,1,1,1,4,4,2,0,2,1,1,3,2
380,0,2,1,1,1,3,0,2,1,1,2,1,3,2
381,0,2,1,1,1,4,3,2,0,2,1,1,3,2
382,0,2,1,1,1,3,2,2,1,1,2,1,3,2
383,0,2,1,1,1,3,3,2,1,2,1,1,3,2
384,0,2,1,1,0,3,3,2,0,2,0,1,3,2
385,0,2,1,1,1,0,4,2,0,2,0,1,3,2
386,0,1,1,1,1,3,3,2,1,2,1,1,3,1
387,0,2,1,1,1,5,3,2,1,2,1,1,0,2
388,0,2,1,1,1,4,4,2,0,2,0,1,3,2
389,0,0,1,1,4,3,4,2,0,2,0,1,0,2
390,0,2,1,1,1,3,3,2,1,2,1,1,3,1
391,0,2,1,1,1,3,3,2,2,2,2,0,1,2
392,0,2,1,1,1,4,0,2,0,2,0,1,3,2
393,1,0,1,1,1,0,0,2,1,1,2,1,1,1
394,0,2,1,1,1,1,1,0,2,0,2,1,1,2
395,0,2,1,1,1,2,0,2,0,2,0,1,3,2
396,0,2,1,1,1,3,3,2,0,2,0,1,3,2
397,0,0,1,1,1,0,4,2,0,1,2,1,0,1
398,0,0,0,1,2,1,3,0,2,2,1,1,3,0
